"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"27.09.2017","4,15","4,11","4,23","3,81","-","1,22%"
"26.09.2017","4,10","4,19","4,21","4,04","-","-5,09%"
"25.09.2017","4,32","4,03","4,38","3,97","-","5,11%"
"22.09.2017","4,11","4,04","4,20","3,98","-","4,85%"
"21.09.2017","3,92","3,92","3,96","3,84","-","-3,92%"
"20.09.2017","4,08","4,14","4,73","3,42","-","0,74%"
"19.09.2017","4,05","4,07","4,12","3,97","-","1,00%"
"18.09.2017","4,01","3,90","4,10","3,86","-","6,08%"
"15.09.2017","3,78","3,94","3,96","3,77","-","-8,25%"
"14.09.2017","4,12","4,22","4,26","3,87","-","-1,20%"
"13.09.2017","4,17","4,20","4,21","3,70","-","-0,48%"
"12.09.2017","4,19","4,19","6,88","4,16","-","-1,87%"
"11.09.2017","4,27","4,31","4,33","4,18","-","-7,58%"
"08.09.2017","4,62","4,58","4,72","4,52","-","0,43%"
"07.09.2017","4,60","4,46","4,69","4,22","-","1,77%"
"06.09.2017","4,52","4,60","4,62","4,40","-","-0,44%"
"05.09.2017","4,54","4,42","4,65","4,37","-","15,52%"
"01.09.2017","3,93","4,10","4,11","3,22","-","-5,07%"
"31.08.2017","4,14","4,08","4,18","3,40","-","-1,19%"
"30.08.2017","4,19","4,07","4,20","3,44","-","0,00%"
"29.08.2017","4,19","4,44","6,66","4,15","-","6,89%"
"28.08.2017","3,92","4,02","4,02","3,88","-","-2,24%"
"25.08.2017","4,01","4,25","4,25","3,40","-","-5,65%"
"24.08.2017","4,25","4,31","4,33","4,18","-","-0,93%"
"23.08.2017","4,29","4,21","4,32","4,16","-","3,37%"
"22.08.2017","4,15","4,35","4,36","4,13","-","-5,47%"
"21.08.2017","4,39","4,34","4,44","4,32","-","4,77%"
"18.08.2017","4,19","4,17","4,40","4,15","-","-0,71%"
"17.08.2017","4,22","4,11","4,25","4,04","-","4,71%"
"16.08.2017","4,03","4,11","6,43","3,81","-","-1,23%"
"15.08.2017","4,08","4,13","4,20","3,91","-","-2,63%"
"14.08.2017","4,19","4,35","4,35","4,12","-","-5,42%"
"11.08.2017","4,43","4,69","4,70","3,50","-","-2,85%"
"10.08.2017","4,56","4,42","6,24","3,86","-","7,04%"
"09.08.2017","4,26","4,29","8,89","4,23","-","6,50%"
"08.08.2017","4,00","3,87","4,04","3,83","-","4,44%"
"07.08.2017","3,83","3,96","3,97","3,79","-","2,41%"
"04.08.2017","3,74","3,78","3,85","3,09","-","-3,11%"
"03.08.2017","3,86","3,90","3,92","3,75","-","-0,52%"
"02.08.2017","3,88","4,05","4,06","3,85","-","-4,20%"
"01.08.2017","4,05","3,97","4,10","3,89","-","1,25%"
"31.07.2017","4,00","4,00","4,09","3,93","-","3,90%"
"28.07.2017","3,85","4,02","4,04","3,49","-","-1,03%"
"27.07.2017","3,89","3,82","3,96","3,61","-","2,10%"
"26.07.2017","3,81","4,16","4,21","3,60","-","-9,29%"
"25.07.2017","4,20","3,99","4,20","3,97","-","8,25%"
"24.07.2017","3,88","3,81","3,92","3,76","-","6,59%"
"21.07.2017","3,64","3,67","3,70","3,59","-","-2,15%"
"20.07.2017","3,72","3,78","3,82","3,60","-","-3,88%"
"19.07.2017","3,87","3,87","3,97","3,82","-","-1,53%"
"18.07.2017","3,93","3,79","3,96","3,77","-","1,03%"
"17.07.2017","3,89","3,99","4,04","3,80","-","3,73%"
"14.07.2017","3,75","4,09","4,13","2,09","-","-12,38%"
"13.07.2017","4,28","4,39","4,46","4,24","-","-0,47%"
"12.07.2017","4,30","4,37","4,42","4,25","-","-2,93%"
"11.07.2017","4,43","4,36","4,53","4,32","-","1,14%"
"10.07.2017","4,38","4,51","4,51","4,35","-","-1,57%"
"07.07.2017","4,45","4,66","4,67","4,05","-","-4,91%"
"06.07.2017","4,68","4,93","4,94","4,64","-","0,86%"
"05.07.2017","4,64","4,87","8,02","4,63","-","-3,73%"
"03.07.2017","4,82","4,81","5,04","4,71","-","-1,03%"
"30.06.2017","4,87","4,49","4,89","4,34","-","5,18%"
"29.06.2017","4,63","4,59","4,81","4,56","-","7,67%"
"28.06.2017","4,30","4,45","4,46","4,26","-","0,23%"
"27.06.2017","4,29","4,13","4,40","4,12","-","7,79%"
"26.06.2017","3,98","4,12","4,22","3,98","-","-1,73%"
"23.06.2017","4,05","4,13","4,14","3,99","-","-1,46%"
"22.06.2017","4,11","4,19","4,27","4,08","-","-3,07%"
"21.06.2017","4,24","4,15","4,35","4,14","-","1,92%"
"20.06.2017","4,16","4,24","4,33","4,15","-","-0,95%"
"19.06.2017","4,20","4,14","4,23","4,07","-","5,53%"
"16.06.2017","3,98","4,01","4,12","3,97","-","-4,56%"
"15.06.2017","4,17","4,25","4,27","4,14","-","-1,88%"
"14.06.2017","4,25","4,31","4,47","4,01","-","0,71%"
"13.06.2017","4,22","4,25","4,27","4,19","-","-0,71%"
"12.06.2017","4,25","4,37","4,41","4,23","-","0,95%"
"09.06.2017","4,21","4,21","4,24","4,14","-","-3,88%"
"08.06.2017","4,38","4,49","4,49","4,32","-","-2,67%"
"07.06.2017","4,50","4,50","4,51","4,40","-","-0,66%"
"06.06.2017","4,53","4,54","4,58","4,45","-","3,66%"
"05.06.2017","4,37","4,43","4,45","4,36","-","0,23%"
"02.06.2017","4,36","4,55","4,56","3,79","-","-3,33%"
"01.06.2017","4,51","4,60","4,60","4,46","-","-1,31%"
"31.05.2017","4,57","4,56","4,70","4,54","-","0,00%"
"30.05.2017","4,57","4,61","4,65","4,52","-","6,78%"
"26.05.2017","4,28","4,44","4,51","4,24","-","-2,06%"
"25.05.2017","4,37","4,46","4,47","4,34","-","-1,80%"
"24.05.2017","4,45","4,55","9,21","4,41","-","-1,77%"
"23.05.2017","4,53","4,56","4,73","4,51","-","0,00%"
"22.05.2017","4,53","4,56","4,62","4,49","-","-1,52%"
"19.05.2017","4,60","4,60","4,65","4,39","-","-1,50%"
"18.05.2017","4,67","4,97","5,07","4,60","-","-6,60%"
"17.05.2017","5,00","4,43","5,06","4,41","-","14,68%"
"16.05.2017","4,36","4,45","4,47","4,33","-","-1,13%"
"15.05.2017","4,41","4,57","4,60","4,39","-","-1,56%"
"12.05.2017","4,48","4,52","4,55","4,39","-","-0,88%"
"11.05.2017","4,52","4,37","4,87","4,37","-","3,20%"
"10.05.2017","4,38","4,46","5,67","4,35","-","-3,95%"
"09.05.2017","4,56","4,55","4,56","4,44","-","0,88%"
"08.05.2017","4,52","4,47","4,56","4,44","-","-6,80%"
"05.05.2017","4,85","4,86","4,88","4,30","-","0,41%"
"04.05.2017","4,83","4,78","4,98","4,77","-","2,99%"
"03.05.2017","4,69","4,72","5,06","4,64","-","-0,85%"
"02.05.2017","4,73","4,84","4,84","4,68","-","-0,42%"
"01.05.2017","4,75","4,75","4,81","4,67","-","2,15%"
"28.04.2017","4,65","4,61","4,66","4,53","-","1,31%"
"27.04.2017","4,59","4,73","4,75","4,58","-","-4,18%"
"26.04.2017","4,79","4,72","6,37","4,70","-","-1,64%"
"25.04.2017","4,87","4,88","4,95","4,66","-","-4,13%"
"24.04.2017","5,08","4,81","5,12","4,76","-","-19,11%"
"21.04.2017","6,28","5,94","9,40","5,92","-","9,03%"
"20.04.2017","5,76","5,56","5,80","5,48","-","0,35%"
"19.04.2017","5,74","5,71","5,81","5,52","-","-1,20%"
"18.04.2017","5,81","5,78","6,14","5,75","-","2,47%"
"17.04.2017","5,67","5,89","5,91","5,58","-","1,43%"
"13.04.2017","5,59","5,94","7,30","5,52","-","-5,09%"
"12.04.2017","5,89","5,59","9,46","5,56","-","3,88%"
"11.04.2017","5,67","5,28","7,75","5,25","-","6,98%"
"10.04.2017","5,30","5,25","5,39","5,17","-","4,33%"
"07.04.2017","5,08","5,28","5,31","4,13","-","-0,78%"
"06.04.2017","5,12","5,19","5,21","5,05","-","-2,48%"
"05.04.2017","5,25","5,11","5,96","5,03","-","2,14%"
"04.04.2017","5,14","5,25","5,27","5,02","-","3,84%"
"03.04.2017","4,95","4,84","4,97","4,78","-","5,77%"
"31.03.2017","4,68","4,73","4,74","4,59","-","-1,06%"
"30.03.2017","4,73","4,73","8,41","4,63","-","0,85%"
"29.03.2017","4,69","4,69","4,72","4,60","-","-1,26%"
"28.03.2017","4,75","4,84","4,87","4,65","-","-2,46%"
"27.03.2017","4,87","5,08","5,14","4,86","-","2,53%"
"24.03.2017","4,75","5,06","5,08","4,75","-","-5,19%"
"23.03.2017","5,01","4,84","5,01","4,79","-","3,73%"
"22.03.2017","4,83","4,80","4,93","4,67","-","2,99%"
"21.03.2017","4,69","4,43","4,69","4,30","-","5,87%"
"20.03.2017","4,43","4,62","4,64","4,41","-","2,07%"
"17.03.2017","4,34","4,45","4,47","4,31","-","-4,82%"
"16.03.2017","4,56","4,53","4,59","4,47","-","0,44%"
"15.03.2017","4,54","5,07","9,49","4,46","-","-10,10%"
"14.03.2017","5,05","5,10","5,10","5,00","-","0,40%"
"13.03.2017","5,03","4,94","5,09","4,87","-","5,01%"
"10.03.2017","4,79","4,98","5,86","3,61","-","-5,52%"
"09.03.2017","5,07","5,02","5,10","4,92","-","1,81%"
"08.03.2017","4,98","5,03","6,54","4,87","-","3,32%"
"07.03.2017","4,82","4,95","4,95","4,76","-","-1,83%"
"06.03.2017","4,91","4,96","5,01","4,91","-","2,51%"
"03.03.2017","4,79","5,11","9,06","4,76","-","-4,96%"
"02.03.2017","5,04","5,30","6,08","5,03","-","-4,73%"
"01.03.2017","5,29","5,43","5,81","5,24","-","-6,87%"
"28.02.2017","5,68","5,45","8,34","5,37","-","4,03%"
"27.02.2017","5,46","5,33","5,47","5,13","-","1,68%"
"24.02.2017","5,37","5,34","5,39","5,19","-","1,51%"
"23.02.2017","5,29","5,36","8,15","5,18","-","-2,22%"
"22.02.2017","5,41","5,52","8,10","5,30","-","0,74%"
"21.02.2017","5,37","5,45","5,47","5,26","-","3,67%"
"17.02.2017","5,18","5,22","5,31","5,15","-","4,23%"
"16.02.2017","4,97","4,93","5,42","4,84","-","2,05%"
"15.02.2017","4,87","5,10","5,22","4,86","-","-4,32%"
"14.02.2017","5,09","5,38","5,42","5,07","-","-4,50%"
"13.02.2017","5,33","5,47","5,53","5,30","-","0,57%"
"10.02.2017","5,30","5,42","5,42","5,25","-","-1,67%"
"09.02.2017","5,39","5,45","7,63","5,36","-","-2,71%"
"08.02.2017","5,54","5,45","11,73","5,44","-","2,78%"
"07.02.2017","5,39","5,30","5,51","5,28","-","-0,55%"
"06.02.2017","5,42","5,21","5,43","5,20","-","6,90%"
"03.02.2017","5,07","5,40","5,41","4,98","-","-6,11%"
"02.02.2017","5,40","5,52","5,54","5,37","-","-2,88%"
"01.02.2017","5,56","5,80","8,22","5,48","-","-3,97%"
"31.01.2017","5,79","5,76","5,86","5,69","-","1,58%"
"30.01.2017","5,70","5,76","5,90","5,67","-","4,20%"
"27.01.2017","5,47","5,70","5,71","5,31","-","-3,19%"
"26.01.2017","5,65","5,95","6,19","5,60","-","-4,40%"
"25.01.2017","5,91","5,88","6,02","5,87","-","1,37%"
"24.01.2017","5,83","5,77","5,91","5,77","-","1,04%"
"23.01.2017","5,77","5,77","5,88","5,71","-","3,78%"
"20.01.2017","5,56","6,05","6,06","5,52","-","-7,33%"
"19.01.2017","6,00","6,11","10,98","5,96","-","2,21%"
"18.01.2017","5,87","5,82","5,88","5,71","-","0,17%"
"17.01.2017","5,86","5,83","5,92","5,78","-","7,72%"
"13.01.2017","5,44","5,50","5,50","5,44","-","-1,27%"
"12.01.2017","5,51","5,54","5,60","5,23","-","1,29%"
"11.01.2017","5,44","5,73","5,78","5,43","-","-2,68%"
"10.01.2017","5,59","5,67","5,75","5,57","-","-3,29%"
"09.01.2017","5,78","5,80","6,00","5,76","-","2,48%"
"06.01.2017","5,64","6,02","6,07","5,60","-","-7,84%"
"05.01.2017","6,12","5,79","6,15","5,69","-","5,52%"
"04.01.2017","5,80","5,82","5,98","5,80","-","-0,34%"
"03.01.2017","5,82","5,80","6,01","5,77","-","7,78%"
"30.12.2016","5,40","5,47","5,49","5,36","-","-1,64%"
"29.12.2016","5,49","5,29","6,28","5,24","-","2,62%"
"28.12.2016","5,35","5,46","5,48","5,28","-","-1,47%"
"27.12.2016","5,43","5,49","5,62","5,41","-","3,04%"
"23.12.2016","5,27","5,24","5,38","5,21","-","-0,57%"
"22.12.2016","5,30","5,42","11,89","5,23","-","-0,75%"
"21.12.2016","5,34","5,35","5,43","5,21","-","-0,56%"
"20.12.2016","5,37","5,32","5,51","5,27","-","4,47%"
"19.12.2016","5,14","5,27","5,32","5,04","-","-2,28%"
"16.12.2016","5,26","5,17","7,72","4,99","-","-14,61%"
"15.12.2016","6,16","6,27","6,32","5,79","-","-1,60%"
"14.12.2016","6,26","6,09","8,33","5,87","-","2,96%"
"13.12.2016","6,08","6,02","6,34","5,90","-","-2,88%"
"12.12.2016","6,26","6,61","6,71","6,20","-","5,39%"
"09.12.2016","5,94","5,76","6,12","5,62","-","4,21%"
"08.12.2016","5,70","6,18","6,23","5,66","-","-3,88%"
"07.12.2016","5,93","6,02","6,07","5,81","-","-3,42%"
"06.12.2016","6,14","6,35","6,36","6,12","-","-5,83%"
"05.12.2016","6,52","6,80","6,93","6,50","-","-4,68%"
"02.12.2016","6,84","6,75","6,95","5,85","-","-2,43%"
"01.12.2016","7,01","7,28","8,19","7,00","-","0,86%"
"30.11.2016","6,95","6,65","7,34","6,55","-","11,02%"
"29.11.2016","6,26","6,42","6,60","6,23","-","-2,34%"
"28.11.2016","6,41","6,44","6,48","6,31","-","-4,61%"
"25.11.2016","6,72","6,89","6,89","6,59","-","4,84%"
"23.11.2016","6,41","6,28","7,15","5,54","-","3,39%"
"22.11.2016","6,20","6,92","6,92","6,09","-","-8,01%"
"21.11.2016","6,74","6,76","7,02","6,67","-","-1,32%"
"18.11.2016","6,83","6,19","6,98","6,13","-","10,70%"
"17.11.2016","6,17","5,99","6,26","5,62","-","0,00%"
"16.11.2016","6,17","6,84","6,87","5,96","-","-4,04%"
"15.11.2016","6,43","6,98","7,18","5,97","-","-9,05%"
"14.11.2016","7,07","7,10","7,15","6,59","-","12,94%"
"11.11.2016","6,26","5,78","6,31","5,64","-","5,74%"
"10.11.2016","5,92","5,88","6,02","5,12","-","3,14%"
"09.11.2016","5,74","5,39","6,25","5,07","-","11,67%"
"08.11.2016","5,14","5,52","5,55","5,11","-","-5,51%"
"07.11.2016","5,44","5,39","5,45","5,33","-","2,45%"
"04.11.2016","5,31","5,18","5,44","4,70","-","2,91%"
"03.11.2016","5,16","5,06","6,31","5,05","-","2,58%"
"02.11.2016","5,03","5,05","5,93","4,98","-","1,00%"
"01.11.2016","4,98","5,10","5,12","4,94","-","1,63%"
"31.10.2016","4,90","4,70","5,29","4,69","-","6,99%"
"28.10.2016","4,58","4,67","4,75","4,43","-","0,88%"
"27.10.2016","4,54","4,66","4,81","4,49","-","4,13%"
"26.10.2016","4,36","4,32","4,41","4,25","-","5,31%"
"25.10.2016","4,14","4,15","5,01","3,75","-","0,24%"
"24.10.2016","4,13","4,15","4,27","4,11","-","4,82%"
"21.10.2016","3,94","4,19","4,24","3,88","-","-5,52%"
"20.10.2016","4,17","4,41","4,42","4,16","-","-6,08%"
"19.10.2016","4,44","4,41","4,62","4,29","-","1,37%"
"18.10.2016","4,38","4,61","4,86","3,34","-","-4,99%"
"17.10.2016","4,61","4,63","4,74","4,47","-","1,99%"
"14.10.2016","4,52","4,43","4,92","4,28","-","-2,16%"
"13.10.2016","4,62","4,70","4,77","4,62","-","-1,91%"
"12.10.2016","4,71","4,80","5,37","4,70","-","-0,42%"
"11.10.2016","4,73","4,80","4,81","4,68","-","-0,84%"
"10.10.2016","4,77","4,81","4,84","4,77","-","3,92%"
"07.10.2016","4,59","4,86","5,05","4,55","-","-3,16%"
"06.10.2016","4,74","4,62","4,77","4,59","-","3,04%"
"05.10.2016","4,60","4,71","4,72","4,53","-","-1,29%"
"04.10.2016","4,66","4,58","4,72","4,54","-","0,87%"
"03.10.2016","4,62","4,74","4,76","4,62","-","-2,33%"
"30.09.2016","4,73","4,81","4,86","4,46","-","1,28%"
"29.09.2016","4,67","4,45","4,77","4,34","-","6,62%"
"28.09.2016","4,38","4,45","4,46","4,35","-","-1,79%"
"27.09.2016","4,46","4,65","4,66","4,45","-","-3,04%"
"26.09.2016","4,60","4,62","4,62","4,36","-","4,31%"
"23.09.2016","4,41","4,45","4,47","4,31","-","0,23%"
"22.09.2016","4,40","4,56","4,58","4,32","-","-4,76%"
"21.09.2016","4,62","4,98","5,02","4,60","-","-9,77%"
"20.09.2016","5,12","5,18","5,27","5,11","-","-0,39%"
"19.09.2016","5,14","5,18","5,30","5,11","-","6,42%"
"16.09.2016","4,83","4,88","5,01","4,82","-","-4,55%"
"15.09.2016","5,06","5,13","5,24","4,99","-","-3,62%"
"14.09.2016","5,25","5,19","5,26","5,13","-","0,19%"
"13.09.2016","5,24","5,00","6,52","4,94","-","3,15%"
"12.09.2016","5,08","5,53","7,06","5,08","-","-1,93%"
"09.09.2016","5,18","4,95","5,19","4,94","-","7,69%"
"08.09.2016","4,81","4,68","4,84","4,58","-","2,34%"
"07.09.2016","4,70","4,65","4,73","4,60","-","1,08%"
"06.09.2016","4,65","4,95","4,98","4,49","-","-2,11%"
"02.09.2016","4,75","5,27","5,27","4,68","-","-7,95%"
"01.09.2016","5,16","5,21","5,43","5,13","-","0,00%"
"31.08.2016","5,16","5,18","5,23","5,01","-","0,78%"
"30.08.2016","5,12","5,12","5,60","5,05","-","-0,39%"
"29.08.2016","5,14","5,30","5,33","5,06","-","-5,17%"
"26.08.2016","5,42","5,36","5,68","4,90","-","0,56%"
"25.08.2016","5,39","5,16","5,41","5,07","-","5,89%"
"24.08.2016","5,09","5,01","7,16","4,97","-","2,83%"
"23.08.2016","4,95","5,14","5,15","4,92","-","-2,94%"
"22.08.2016","5,10","5,24","5,25","5,03","-","1,39%"
"19.08.2016","5,03","5,03","5,16","5,00","-","0,80%"
"18.08.2016","4,99","4,94","5,04","4,92","-","0,20%"
"17.08.2016","4,98","5,16","6,63","4,92","-","-2,16%"
"16.08.2016","5,09","5,06","5,26","4,98","-","0,20%"
"15.08.2016","5,08","4,96","5,09","4,95","-","5,61%"
"12.08.2016","4,81","4,92","5,02","4,72","-","-3,22%"
"11.08.2016","4,97","4,80","5,95","4,76","-","3,54%"
"10.08.2016","4,80","4,86","5,78","4,53","-","-2,44%"
"09.08.2016","4,92","5,02","5,03","4,87","-","-2,38%"
"08.08.2016","5,04","5,09","5,15","4,99","-","0,40%"
"05.08.2016","5,02","4,96","5,04","3,59","-","-0,99%"
"04.08.2016","5,07","5,16","5,18","5,03","-","-3,06%"
"03.08.2016","5,23","5,26","7,08","5,18","-","-1,13%"
"02.08.2016","5,29","5,26","5,30","5,14","-","5,38%"
"01.08.2016","5,02","5,01","5,06","4,97","-","3,72%"
"29.07.2016","4,84","5,12","8,32","4,07","-","-7,63%"
"28.07.2016","5,24","5,12","5,25","5,10","-","1,95%"
"27.07.2016","5,14","5,34","5,37","5,12","-","-3,56%"
"26.07.2016","5,33","5,40","5,45","5,29","-","-2,56%"
"25.07.2016","5,47","5,40","5,47","5,28","-","3,01%"
"22.07.2016","5,31","5,39","5,39","5,16","-","-2,21%"
"21.07.2016","5,43","5,64","5,64","4,72","-","0,37%"
"20.07.2016","5,41","5,52","5,60","5,41","-","-1,99%"
"19.07.2016","5,52","5,51","5,91","5,38","-","-1,43%"
"18.07.2016","5,60","5,82","5,85","5,58","-","-3,95%"
"15.07.2016","5,83","5,88","11,07","2,13","-","1,57%"
"14.07.2016","5,74","5,66","5,82","5,36","-","1,95%"
"13.07.2016","5,63","5,65","5,95","5,60","-","0,18%"
"12.07.2016","5,62","5,51","5,70","5,47","-","1,08%"
"11.07.2016","5,56","5,47","5,57","5,42","-","0,91%"
"08.07.2016","5,51","6,05","9,35","5,49","-","-8,01%"
"07.07.2016","5,99","5,95","9,39","5,81","-","0,00%"
"06.07.2016","5,99","6,26","7,09","5,93","-","-1,16%"
"05.07.2016","6,06","5,91","6,20","5,73","-","8,60%"
"01.07.2016","5,58","5,80","6,87","5,57","-","-0,89%"
"30.06.2016","5,63","5,42","5,64","4,82","-","3,11%"
"29.06.2016","5,46","5,71","5,74","5,41","-","-9,60%"
"28.06.2016","6,04","6,11","6,18","5,91","-","-10,52%"
"27.06.2016","6,75","6,88","6,88","6,34","-","2,58%"
"24.06.2016","6,58","6,86","6,86","5,84","-","8,76%"
"23.06.2016","6,05","5,87","6,19","5,44","-","-5,17%"
"22.06.2016","6,38","6,27","7,48","6,13","-","3,74%"
"21.06.2016","6,15","6,24","7,34","6,05","-","-1,76%"
"20.06.2016","6,26","5,82","6,36","5,76","-","-1,11%"
"17.06.2016","6,33","6,32","6,57","6,25","-","-4,67%"
"16.06.2016","6,64","6,38","9,58","6,15","-","7,79%"
"15.06.2016","6,16","6,06","8,22","4,40","-","1,99%"
"14.06.2016","6,04","6,61","6,77","5,99","-","-3,21%"
"13.06.2016","6,24","5,93","6,25","5,93","-","12,23%"
"10.06.2016","5,56","5,40","5,66","5,38","-","7,96%"
"09.06.2016","5,15","5,09","8,59","5,04","-","3,62%"
"08.06.2016","4,97","4,83","5,91","4,82","-","1,64%"
"07.06.2016","4,89","4,88","4,94","4,87","-","-1,21%"
"06.06.2016","4,95","5,24","5,27","4,95","-","-1,39%"
"03.06.2016","5,02","5,13","5,85","4,83","-","-2,71%"
"02.06.2016","5,16","5,25","5,26","5,09","-","-0,58%"
"01.06.2016","5,19","5,44","5,44","5,15","-","0,39%"
"31.05.2016","5,17","5,12","5,26","5,09","-","7,71%"
"27.05.2016","4,80","4,83","4,85","4,65","-","-0,21%"
"26.05.2016","4,81","4,87","5,60","4,77","-","-1,43%"
"25.05.2016","4,88","5,14","5,94","4,85","-","-4,69%"
"24.05.2016","5,12","5,18","5,29","5,06","-","-3,76%"
"23.05.2016","5,32","5,31","5,39","5,25","-","0,95%"
"20.05.2016","5,27","5,44","5,51","5,21","-","-5,05%"
"19.05.2016","5,55","5,58","7,59","5,47","-","-0,18%"
"18.05.2016","5,56","5,39","5,62","5,02","-","3,35%"
"17.05.2016","5,38","5,60","6,90","5,31","-","-3,41%"
"16.05.2016","5,57","5,59","5,70","5,54","-","2,20%"
"13.05.2016","5,45","5,40","6,58","5,08","-","2,44%"
"12.05.2016","5,32","5,47","6,74","5,28","-","-0,19%"
"11.05.2016","5,33","5,30","6,36","5,27","-","0,95%"
"10.05.2016","5,28","5,26","5,31","5,24","-","-0,94%"
"09.05.2016","5,33","5,35","5,38","5,31","-","2,90%"
"06.05.2016","5,18","5,53","7,05","5,17","-","-6,50%"
"05.05.2016","5,54","5,60","5,74","5,46","-","-0,72%"
"04.05.2016","5,58","5,69","6,59","5,55","-","-1,24%"
"03.05.2016","5,65","5,59","5,77","5,58","-","2,54%"
"02.05.2016","5,51","5,60","6,94","5,49","-","1,10%"
"29.04.2016","5,45","5,40","5,47","5,35","-","-0,91%"
"28.04.2016","5,50","5,23","6,92","5,19","-","3,00%"
"27.04.2016","5,34","5,46","5,95","5,30","-","-0,74%"
"26.04.2016","5,38","5,65","6,57","5,36","-","-4,10%"
"25.04.2016","5,61","5,58","5,67","5,49","-","4,47%"
"22.04.2016","5,37","5,60","5,67","5,34","-","-2,89%"
"21.04.2016","5,53","5,52","5,56","5,34","-","4,34%"
"20.04.2016","5,30","5,12","5,36","4,96","-","4,13%"
"19.04.2016","5,09","5,02","5,16","5,00","-","3,04%"
"18.04.2016","4,94","5,03","5,03","4,93","-","3,35%"
"15.04.2016","4,78","4,87","4,90","4,38","-","-5,35%"
"14.04.2016","5,05","4,96","5,17","4,86","-","1,20%"
"13.04.2016","4,99","5,08","5,22","4,94","-","-2,54%"
"12.04.2016","5,12","5,17","5,21","5,10","-","0,00%"
"11.04.2016","5,12","5,20","5,22","5,09","-","-0,78%"
"08.04.2016","5,16","5,16","5,18","5,10","-","-3,01%"
"07.04.2016","5,32","5,19","5,35","5,13","-","5,56%"
"06.04.2016","5,04","5,18","6,34","5,02","-","-4,55%"
"05.04.2016","5,28","5,18","5,30","5,11","-","5,81%"
"04.04.2016","4,99","4,98","5,01","4,90","-","3,31%"
"01.04.2016","4,83","5,16","6,54","4,17","-","-6,40%"
"31.03.2016","5,16","5,32","6,37","4,98","-","-1,15%"
"30.03.2016","5,22","5,36","6,11","4,92","-","-1,88%"
"29.03.2016","5,32","5,56","5,75","5,05","-","-3,27%"
"28.03.2016","5,50","5,59","5,65","5,49","-","2,80%"
"24.03.2016","5,35","5,45","6,71","5,31","-","-1,83%"
"23.03.2016","5,45","5,32","5,48","5,26","-","0,18%"
"22.03.2016","5,44","5,29","5,46","5,15","-","2,45%"
"21.03.2016","5,31","5,14","5,39","5,09","-","7,49%"
"18.03.2016","4,94","5,04","5,05","4,92","-","-2,56%"
"17.03.2016","5,07","4,99","5,11","3,51","-","-7,31%"
"16.03.2016","5,47","5,47","5,47","5,47","-","-0,18%"
"15.03.2016","5,48","5,68","5,68","5,46","-","-3,18%"
"14.03.2016","5,66","5,81","5,81","5,65","-","-0,70%"
"11.03.2016","5,70","5,74","5,91","5,68","-","-1,38%"
"10.03.2016","5,78","5,81","6,90","5,70","-","-2,03%"
"09.03.2016","5,90","5,93","5,95","5,76","-","-1,01%"
"08.03.2016","5,96","5,74","6,05","5,74","-","3,83%"
"07.03.2016","5,74","5,74","5,76","5,61","-","3,61%"
"04.03.2016","5,54","5,58","8,19","4,09","-","-1,60%"
"03.03.2016","5,63","5,82","5,92","5,60","-","-2,76%"
"02.03.2016","5,79","5,92","5,95","5,74","-","-0,17%"
"01.03.2016","5,80","5,73","9,04","5,53","-","0,69%"
"29.02.2016","5,76","5,87","7,70","5,71","-","-0,69%"
"26.02.2016","5,80","5,83","10,29","5,59","-","-3,49%"
"25.02.2016","6,01","5,93","9,90","5,77","-","-0,17%"
"24.02.2016","6,02","6,31","8,74","5,98","-","-0,99%"
"23.02.2016","6,08","6,01","6,13","5,75","-","0,16%"
"22.02.2016","6,07","6,11","6,24","5,97","-","-3,04%"
"19.02.2016","6,26","6,41","6,45","6,15","-","-1,11%"
"18.02.2016","6,33","6,05","8,76","5,87","-","2,59%"
"17.02.2016","6,17","6,23","16,78","5,80","-","-3,14%"
"16.02.2016","6,37","6,45","6,60","6,33","-","-7,68%"
"12.02.2016","6,90","7,51","8,76","6,61","-","-9,80%"
"11.02.2016","7,65","8,32","8,53","7,37","-","13,84%"
"10.02.2016","6,72","6,66","11,09","6,25","-","-2,04%"
"09.02.2016","6,86","7,62","11,43","6,85","-","-3,52%"
"08.02.2016","7,11","6,64","7,20","6,54","-","18,70%"
"05.02.2016","5,99","6,08","8,62","5,03","-","-1,48%"
"04.02.2016","6,08","6,11","6,25","5,97","-","-2,09%"
"03.02.2016","6,21","6,03","6,55","5,97","-","2,99%"
"02.02.2016","6,03","5,56","6,04","5,55","-","7,68%"
"01.02.2016","5,60","5,74","5,75","5,56","-","-1,58%"
"29.01.2016","5,69","5,64","5,71","5,45","-","5,57%"
"28.01.2016","5,39","5,35","7,36","5,24","-","-2,53%"
"27.01.2016","5,53","5,56","5,57","5,12","-","-3,15%"
"26.01.2016","5,71","5,85","5,90","5,69","-","-1,55%"
"25.01.2016","5,80","5,80","5,89","5,70","-","2,84%"
"22.01.2016","5,64","5,55","5,73","5,49","-","-4,08%"
"21.01.2016","5,88","6,37","6,38","5,78","-","-6,52%"
"20.01.2016","6,29","6,67","6,80","6,28","-","-0,94%"
"19.01.2016","6,35","6,11","6,37","6,11","-","2,92%"
"15.01.2016","6,17","5,71","7,35","5,69","-","11,57%"
